         3741936 function calls (3648040 primitive calls) in 2.102 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      550    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      990    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      197    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       59    0.000    0.000    0.000    0.000 _make.py:1814(from_counting_attr)
     1086    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      800    0.000    0.000    0.000    0.000 shared_object.py:40(set_potentially_live)
        1    0.000    0.000    0.000    0.000 {built-in method posix.replace}
      485    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      261    0.000    0.000    0.000    0.000 protocol_messages.py:54(is_same_command)
      802    0.000    0.000    0.000    0.000 protocol.py:126(get_vasp)
      161    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.008    0.008 test_protocol.py:153(<listcomp>)
       25    0.000    0.000    0.003    0.000 _make.py:450(__init__)
      400    0.000    0.000    0.000    0.000 {built-in method _json.encode_basestring_ascii}
        1    0.000    0.000    0.008    0.008 test_protocol.py:160(<listcomp>)
       24    0.000    0.000    0.002    0.000 _make.py:1340(_make_init)
        7    0.000    0.000    0.001    0.000 __init__.py:440(search)
      400    0.000    0.000    0.000    0.000 executor.py:144(all_true)
       13    0.000    0.000    0.153    0.012 __init__.py:1(<module>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
       64    0.000    0.000    0.000    0.000 uuid.py:266(__str__)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      200    0.000    0.000    0.001    0.000 sample_command.py:13(__init__)
      615    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
        1    0.000    0.000    0.007    0.007 test_protocol.py:154(<listcomp>)
       59    0.000    0.000    0.000    0.000 _make.py:1823(<dictcomp>)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
        7    0.000    0.000    0.000    0.000 mock.py:380(__new__)
      273    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(parent)
        1    0.000    0.000    0.007    0.007 test_protocol.py:161(<listcomp>)
      191    0.000    0.000    0.000    0.000 _make.py:715(_add_method_dunders)
      251    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      189    0.000    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:1272(find_spec)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      571    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:855(__enter__)
       59    0.000    0.000    0.000    0.000 _make.py:73(attrib)
       79    0.000    0.000    0.000    0.000 _make.py:1768(__init__)
       49    0.000    0.000    0.000    0.000 enum.py:836(__and__)
       51    0.000    0.000    0.000    0.000 typing.py:212(_remove_dups_flatten)
      600    0.000    0.000    0.000    0.000 protocol.py:123(get_my_address)
       49    0.000    0.000    0.011    0.000 sre_parse.py:913(parse)
      143    0.000    0.000    0.000    0.000 sre_parse.py:408(_uniq)
        1    0.000    0.000    0.001    0.001 tokenize.py:21(<module>)
       22    0.000    0.000    0.000    0.000 typing.py:180(_subs_tvars)
      800    0.000    0.000    0.000    0.000 sample_command.py:27(item)
      393    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
      756    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       30    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      121    0.000    0.000    0.000    0.000 sre_parse.py:343(_escape)
      107    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
       64    0.000    0.000    0.001    0.000 uuid.py:759(uuid4)
        2    0.000    0.000    0.000    0.000 {function Random.seed at 0x10ad7b200}
     10/1    0.000    0.000    0.000    0.000 apipkg.py:92(__init__)
       25    0.000    0.000    0.009    0.000 _make.py:946(wrap)
       26    0.000    0.000    0.002    0.000 _make.py:231(_make_attr_tuple_class)
      518    0.000    0.000    0.000    0.000 mock.py:1969(__init__)
      945    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      197    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      208    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
      802    0.000    0.000    0.000    0.000 mock.py:1002(_mock_check_sig)
    245/7    0.000    0.000    0.106    0.015 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      123    0.000    0.000    0.002    0.000 enum.py:284(__call__)
      436    0.000    0.000    0.000    0.000 storage.py:270(exists)
       15    0.000    0.000    0.000    0.000 _make.py:1100(append_hash_computation_lines)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
      449    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      503    0.000    0.000    0.000    0.000 protocol.py:143(persist)
       30    0.000    0.000    0.000    0.000 functools.py:37(update_wrapper)
    65/43    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 __init__.py:24(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method posix.open}
       59    0.000    0.000    0.000    0.000 _make.py:1975(__init__)
      195    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      313    0.000    0.000    0.000    0.000 __init__.py:433(is_egg)
        1    0.000    0.000    0.004    0.004 random.py:38(<module>)
       90    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
      143    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       15    0.000    0.000    0.001    0.000 _make.py:1088(_make_hash)
        1    0.000    0.000    0.002    0.002 typing.py:19(<module>)
      101    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       33    0.000    0.000    0.000    0.000 sre_parse.py:267(getuntil)
      771    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
      400    0.000    0.000    0.000    0.000 shared_object.py:46(set_actually_live)
      312    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
  147/139    0.000    0.000    0.000    0.000 typing.py:664(__hash__)
  169/104    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
  433/377    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1319(__init__)
      200    0.000    0.000    0.000    0.000 protocol.py:117(my_next_seq)
      650    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
       64    0.000    0.000    0.000    0.000 {method 'splitlines' of 'str' objects}
       49    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      197    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       88    0.000    0.000    0.000    0.000 sre_parse.py:295(_class_escape)
       12    0.000    0.000    0.000    0.000 datetime.py:473(__new__)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
        1    0.000    0.000    2.102    2.102 test_protocol.py:1(<module>)
      400    0.000    0.000    0.000    0.000 sample_command.py:24(get_object)
      161    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:105(_write_atomic)
       49    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      230    0.000    0.000    0.000    0.000 protocol_messages.py:126(not_protocol_failure)
        4    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
       23    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1040(create_module)
       25    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       30    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
        7    0.000    0.000    0.002    0.000 enum.py:389(_create_)
       49    0.000    0.000    0.006    0.000 sre_compile.py:598(_code)
        1    0.000    0.000    0.000    0.000 opcode.py:37(<listcomp>)
      118    0.000    0.000    0.000    0.000 enum.py:34(_is_sunder)
       15    0.000    0.000    0.000    0.000 _make.py:500(_patch_original_class)
       10    0.000    0.000    0.000    0.000 _make.py:553(<dictcomp>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
     32/7    0.000    0.000    0.085    0.012 {built-in method builtins.__import__}
      116    0.000    0.000    0.000    0.000 enum.py:526(__new__)
      196    0.000    0.000    0.000    0.000 typing.py:322(__hash__)
      189    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:792(find_spec)
        1    0.000    0.000    0.003    0.003 inspect.py:27(<module>)
        1    0.000    0.000    0.001    0.001 test_protocol.py:610(<listcomp>)
      118    0.000    0.000    0.000    0.000 enum.py:26(_is_dunder)
       23    0.000    0.000    0.002    0.000 _make.py:695(add_eq)
        3    0.000    0.000    0.000    0.000 tokenize.py:132(_all_string_prefixes)
      386    0.000    0.000    0.000    0.000 typing.py:613(<genexpr>)
       22    0.000    0.000    0.001    0.000 typing.py:760(__getitem_inner__)
        1    0.000    0.000    0.000    0.000 csv.py:81(DictReader)
      193    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:719(find_spec)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(<setcomp>)
       23    0.000    0.000    0.000    0.000 _make.py:705(add_order)
      216    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
       15    0.000    0.000    0.000    0.000 typing.py:844(__init_subclass__)
        1    0.000    0.000    0.002    0.002 socket.py:47(<module>)
       22    0.000    0.000    0.001    0.000 typing.py:621(__getitem__)
      189    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       84    0.000    0.000    0.000    0.000 _make.py:356(<genexpr>)
       25    0.000    0.000    0.001    0.000 _make.py:364(<listcomp>)
       44    0.000    0.000    0.001    0.000 typing.py:633(copy_with)
        2    0.000    0.000    0.003    0.002 pathlib.py:1(<module>)
        1    0.000    0.000    0.002    0.002 case.py:1(<module>)
      148    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
       35    0.000    0.000    0.000    0.000 sre_compile.py:492(_get_charset_prefix)
      219    0.000    0.000    0.000    0.000 socket.py:81(<lambda>)
       11    0.000    0.000    0.000    0.000 enum.py:474(_find_new_)
        1    0.000    0.000    0.066    0.066 code.py:1(<module>)
